,common_name,temperature_germination,temperature_growing,days_germination,days_harvest,ph_range,ph,chalk,clay,loam,peat,sand,silt,water_code,nutrients_code,temperature_class_code,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,season_biennial,season_mixed,season_perenial,season_perennial,season_unknown
52,Onion,24.0,22.5,6.0,110.0,1.0,6.5,0,1,0,0,1,0,3,2,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
53,Onion (Autumn planted),24.0,18.5,6.0,110.0,1.0,6.5,0,1,0,0,1,0,3,2,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
54,Onions (Perennial),24.0,18.5,6.0,60.0,1.0,6.5,0,0,0,0,1,0,3,1,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
55,Onions (Red),24.0,18.5,6.0,110.0,1.0,6.5,0,1,0,0,1,0,3,2,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
56,Parsnip,18.0,15.5,14.0,100.0,2.0,6.5,0,0,0,0,0,0,3,1,3,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
57,Bell Pepper,30.0,26.0,8.0,70.0,1.5,6.25,0,0,0,0,0,1,3,4,2,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
58,Potatoes (Early),26.0,16.5,4.0,102.5,1.5,5.25,0,1,0,0,0,0,3,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
59,Potatoes (Main crop),26.0,16.5,4.0,107.5,1.5,5.25,0,1,0,0,0,0,3,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
60,Purslane,32.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,1,1,1,1,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
61,Quinoa,21.0,17.5,4.0,105.0,1.0,6.5,0,0,1,0,0,0,1,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
62,Radish,30.0,18.5,4.0,37.5,1.0,6.5,0,1,0,0,1,0,3,1,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
63,Rhubarb,21.0,24.0,7.0,70.0,1.5,6.25,0,0,0,0,0,0,3,1,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
64,Rocket,20.0,18.5,6.0,65.0,1.0,6.5,0,0,0,0,0,0,3,1,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
65,Salsify,21.0,18.5,6.0,120.0,1.5,6.75,0,0,0,0,1,0,3,1,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
66,Scorzonera (Black salsify),21.0,18.5,6.0,120.0,1.0,6.5,0,0,0,0,1,0,3,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
67,Shallots,24.0,18.5,21.0,90.0,1.0,6.5,0,0,0,0,0,0,3,1,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68,Sorrel,20.0,18.5,7.0,60.0,1.5,6.25,0,0,0,0,0,0,3,2,5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
69,Soybean,24.0,18.5,4.0,95.0,1.0,6.5,0,0,0,0,0,0,3,2,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
70,Spinach,21.0,18.5,5.0,57.5,1.5,6.75,0,0,0,0,0,0,3,2,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
71,Spinach (New Zealand),26.0,19.5,15.0,60.0,0.5,6.75,0,0,0,0,0,0,3,1,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
72,Spinach (Perpetual),30.0,18.5,4.0,37.5,1.0,6.5,0,0,0,0,0,0,3,1,5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
73,Spring Onion / Scallions,24.0,18.5,6.0,60.0,1.0,6.5,0,0,0,0,0,0,3,1,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
